Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,PLDT Home Fiber,106526,137809,106.53,137.81,3,9218,3204,4725
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,Globe,118003,176305,118.00,176.31,11,5495,1812,2474
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Converge,179853,172094,179.85,172.09,4,5150,1855,2727
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Globe,164132,144336,164.13,144.34,5,4926,1928,2821
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,PLDT Home Fiber,98280,97011,98.28,97.01,9,4304,1503,2118
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,Converge,211351,209964,211.35,209.96,4,3991,1215,2246
"Manila, Metro Manila, Philippines",14.59951,120.98423,Converge,214260,197587,214.26,197.59,4,3894,1388,2248
"Manila, Metro Manila, Philippines",14.59951,120.98423,PLDT Home Fiber,101171,103400,101.17,103.40,5,3570,1240,1855
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,PLDT,75528,73452,75.53,73.45,8,3521,1318,1835
"Cebu City, Cebu, Philippines",10.29261,123.90219,PLDT Home Fiber,91526,96360,91.53,96.36,7,3312,1071,1501
"Taguig, Metro Manila, Philippines",14.53063,121.05755,Converge,187578,185837,187.58,185.84,4,2587,944,1362
"Cebu City, Cebu, Philippines",10.29261,123.90219,PLDT,72763,83564,72.76,83.56,9,2554,787,1140
"Cebu City, Cebu, Philippines",10.29261,123.90219,Globe,120625,109738,120.63,109.74,6,2481,1015,1441
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Converge,190511,196204,190.51,196.20,4,2183,783,1216
"Pasig, Metro Manila, Philippines",14.56082,121.0776,PLDT Home Fiber,150549,167727,150.55,167.73,3,2142,812,1176
"Cebu City, Cebu, Philippines",10.29261,123.90219,Converge,151752,139745,151.75,139.75,4,2104,759,1150
"Manila, Metro Manila, Philippines",14.59951,120.98423,PLDT,92111,91347,92.11,91.35,7,2099,816,1140
"Biñan, Laguna, Philippines",14.31456,121.08316,PLDT,98549,137964,98.55,137.96,9,1958,698,1114
"Calamba, Laguna, Philippines",14.19488,121.15974,Converge,162826,159601,162.83,159.60,6,1896,686,1025
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,Converge,144339,211765,144.34,211.77,5,1867,512,802
"Makati City, Metro Manila, Philippines",14.55474,121.02444,PLDT Home Fiber,147990,143220,147.99,143.22,4,1814,591,857
"Baguio, Benguet, Philippines",16.41297,120.5914,PLDT Home Fiber,95328,97928,95.33,97.93,6,1785,675,967
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,Globe,117261,92903,117.26,92.90,8,1731,642,933
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,PLDT,96441,99622,96.44,99.62,5,1706,720,1001
"San Pablo City, Laguna, Philippines",14.06422,121.32326,Converge,137644,158979,137.64,158.98,6,1689,575,891
"Taguig, Metro Manila, Philippines",14.53063,121.05755,Globe,163547,158052,163.55,158.05,4,1654,634,958
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,Converge,112826,115426,112.83,115.43,3,1604,645,935
"Makati City, Metro Manila, Philippines",14.55474,121.02444,PLDT,77929,81816,77.93,81.82,10,1547,643,919
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,PLDT Home Fiber,122217,126062,122.22,126.06,4,1539,577,789
"Polangui, Albay, Philippines",13.29368,123.48542,Converge,114168,93024,114.17,93.02,7,1530,458,789
"Cainta, Rizal, Philippines",14.58056,121.11565,PLDT Home Fiber,116568,174942,116.57,174.94,3,1493,560,781
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,PLDT Home Fiber,96568,120509,96.57,120.51,3,1483,548,750
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,PLDT Home Fiber,105172,154861,105.17,154.86,3,1473,543,789
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,PLDT,126896,130605,126.90,130.61,5,1409,389,545
"Mexico, Pampanga, Philippines",15.06457,120.72033,Converge,124919,130559,124.92,130.56,3,1383,580,808
"Marikina, Metro Manila, Philippines",14.63493,121.10195,Converge,186422,173168,186.42,173.17,3,1375,526,777
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,PLDT Home Fiber,90495,93642,90.50,93.64,6,1348,466,655
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,PLDT Home Fiber,136675,138922,136.68,138.92,5,1316,491,664
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Converge,107947,110098,107.95,110.10,4,1306,468,634
"Capas, Tarlac, Philippines",15.34633,120.59344,Converge,110655,116051,110.66,116.05,3,1282,552,765
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,PLDT Home Fiber,134261,106015,134.26,106.02,4,1267,479,691
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,PLDT,93510,93822,93.51,93.82,9,1196,442,625
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,PLDT Home Fiber,112532,160691,112.53,160.69,3,1193,418,602
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,PLDT Home Fiber,97902,97755,97.90,97.76,7,1073,394,560
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,Globe,106464,97545,106.46,97.55,6,1071,375,548
"Malabon, Metro Manila, Philippines",14.65793,120.95118,PLDT Home Fiber,100357,104006,100.36,104.01,3,1069,385,585
"Pandi, Bulacan, Philippines",14.87572,120.95941,Converge,163798,102117,163.80,102.12,6,1017,355,534
"Concepcion, Tarlac, Philippines",15.324,120.65596,Converge,116343,119425,116.34,119.43,3,1014,409,598
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Globe,227482,195343,227.48,195.34,4,1012,360,525
"Taguig, Metro Manila, Philippines",14.53063,121.05755,PLDT Home Fiber,190761,190570,190.76,190.57,4,972,362,507
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,Converge,175828,110005,175.83,110.01,7,945,371,565
"Batangas City, Batangas, Philippines",13.75641,121.05833,Globe,114128,101432,114.13,101.43,9,937,402,556
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Converge,188475,206281,188.48,206.28,4,929,319,462
"Imus, Cavite, Philippines",14.42764,120.93724,PLDT Home Fiber,165378,165650,165.38,165.65,3,926,380,514
"Navotas, Metro Manila, Philippines",14.65819,120.94743,Converge,196294,181463,196.29,181.46,4,914,277,490
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Converge,136522,132821,136.52,132.82,4,906,330,511
"Bacoor, Cavite, Philippines",14.43122,120.96567,PLDT Home Fiber,118816,118196,118.82,118.20,5,904,284,421
