Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Converge,Philippines,,"Nov 4, 2025",92029,30443,all,N/A,median,6,12.4,3.6,111882,143636,111.88,143.64
Globe,Philippines,,"Nov 4, 2025",40056,15509,all,N/A,median,6,18.4861,3.1688,123668,112598,123.67,112.60
PLDT Home Fiber,Philippines,,"Nov 4, 2025",107069,38849,all,N/A,median,6,21.4992,4.375,123458,121683,123.46,121.68
PLDT,Philippines,,"Nov 4, 2025",50724,18486,all,N/A,median,8,29.619,5.7917,89526,92152,89.53,92.15
Smart,Philippines,,"Nov 4, 2025",14187,5257,N/A,cellular,median,18,51.9011,14.7046,58176,7156,58.18,7.16
DITO,Philippines,,"Nov 4, 2025",5355,1736,N/A,cellular,median,28,52.7942,15.0169,26187,3640,26.19,3.64
Globe,Philippines,,"Nov 4, 2025",14443,4421,N/A,cellular,median,26,60.4673,17.0297,24374,5372,24.37,5.37
Converge,Philippines,,"Nov 5, 2025",76557,28052,all,N/A,median,5,11.7511,2.8112,144952,137063,144.95,137.06
Globe,Philippines,,"Nov 5, 2025",40581,15439,all,N/A,median,6,20.6615,3.15,124094,110868,124.09,110.87
PLDT Home Fiber,Philippines,,"Nov 5, 2025",101897,36448,all,N/A,median,6,20.8111,4.3625,116470,116109,116.47,116.11
PLDT,Philippines,,"Nov 5, 2025",52465,18732,all,N/A,median,9,30.1333,5.8,88672,91680,88.67,91.68
Smart,Philippines,,"Nov 5, 2025",12593,4088,N/A,cellular,median,20,57.304,16.7274,46774,5685,46.77,5.69
DITO,Philippines,,"Nov 5, 2025",4991,1626,N/A,cellular,median,29,52.8073,15.3538,26652,4240,26.65,4.24
Globe,Philippines,,"Nov 5, 2025",13419,3969,N/A,cellular,median,26,60.729,16.4023,24477,5907,24.48,5.91
Converge,Philippines,,"Nov 6, 2025",81255,29190,all,N/A,median,5,10.8918,2.7715,147179,143827,147.18,143.83
Globe,Philippines,,"Nov 6, 2025",44467,16583,all,N/A,median,6,27.4167,3.4019,120877,109733,120.88,109.73
PLDT Home Fiber,Philippines,,"Nov 6, 2025",100601,35337,all,N/A,median,6,21.9301,4.7536,107977,114404,107.98,114.40
PLDT,Philippines,,"Nov 6, 2025",51257,18594,all,N/A,median,9,30.4444,6.0083,88995,91909,89.00,91.91
Smart,Philippines,,"Nov 6, 2025",11669,3834,N/A,cellular,median,20,58.1636,16.6142,43132,5779,43.13,5.78
DITO,Philippines,,"Nov 6, 2025",4952,1597,N/A,cellular,median,29,52.3738,14.8581,26328,4292,26.33,4.29
Globe,Philippines,,"Nov 6, 2025",15188,4073,N/A,cellular,median,25,55.9717,14.4844,26711,6269,26.71,6.27
Converge,Philippines,,"Nov 7, 2025",94769,36685,all,N/A,median,4,8.6716,2.2046,191313,176043,191.31,176.04
Globe,Philippines,,"Nov 7, 2025",38784,14856,all,N/A,median,6,20.6667,3.075,125219,111957,125.22,111.96
PLDT Home Fiber,Philippines,,"Nov 7, 2025",96043,34244,all,N/A,median,6,20.6783,4.525,109112,113057,109.11,113.06
PLDT,Philippines,,"Nov 7, 2025",49113,17204,all,N/A,median,8,28.4667,5.625,89405,92110,89.41,92.11
Smart,Philippines,,"Nov 7, 2025",10547,3474,N/A,cellular,median,20,54.4719,15.1283,44125,6074,44.13,6.07
DITO,Philippines,,"Nov 7, 2025",4323,1436,N/A,cellular,median,29,52.7057,14.3735,28196,4853,28.20,4.85
Globe,Philippines,,"Nov 7, 2025",15788,3515,N/A,cellular,median,24,53.3895,14.0939,26248,6398,26.25,6.40
Converge,Philippines,,"Nov 8, 2025",66707,23004,all,N/A,median,5,10.2413,2.4375,159811,147978,159.81,147.98
Globe,Philippines,,"Nov 8, 2025",35110,12237,all,N/A,median,6,18.3419,2.8875,121134,109765,121.13,109.77
