Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Converge,Philippines,,Jun 2025,2462037,490424,all,N/A,median,4,11.65,3.8268,138219,130276,138.22,130.28
Globe,Philippines,,Jun 2025,1588556,303744,all,N/A,median,7,21.8556,4.6124,95934,92894,95.93,92.89
PLDT Home Fiber,Philippines,,Jun 2025,3093934,545355,all,N/A,median,6,23.7422,7.2996,114630,107404,114.63,107.40
PLDT,Philippines,,Jun 2025,1478333,285519,all,N/A,median,8,31.2099,8.5413,85961,88770,85.96,88.77
Smart,Philippines,,Jun 2025,267523,52045,N/A,cellular,median,20,44.927,13.1894,51875,7823,51.88,7.82
DITO,Philippines,,Jun 2025,119208,20783,N/A,cellular,median,28,52.4589,16.4331,29558,6398,29.56,6.40
Globe,Philippines,,Jun 2025,267407,50413,N/A,cellular,median,21,44.6738,13.6841,35198,7605,35.20,7.61
Converge,Philippines,,Jul 2025,2397493,452141,all,N/A,median,5,13.1287,4.9666,126453,123486,126.45,123.49
Globe,Philippines,,Jul 2025,1658876,308801,all,N/A,median,6,21.7681,5.3052,96208,93534,96.21,93.53
PLDT Home Fiber,Philippines,,Jul 2025,3098752,562437,all,N/A,median,6,24.1944,7.8333,114610,111094,114.61,111.09
PLDT,Philippines,,Jul 2025,1555606,300689,all,N/A,median,8,30.4731,9.0125,87306,91099,87.31,91.10
Smart,Philippines,,Jul 2025,274269,52081,N/A,cellular,median,20,47.1188,14.0081,50099,7397,50.10,7.40
DITO,Philippines,,Jul 2025,126629,21653,N/A,cellular,median,28,51.3183,16.5737,28988,6092,28.99,6.09
Globe,Philippines,,Jul 2025,291501,51875,N/A,cellular,median,21,44.3541,13.9535,33593,7416,33.59,7.42
Converge,Philippines,,Aug 2025,2387271,447041,all,N/A,median,5,13.5667,5.0666,130113,121950,130.11,121.95
Globe,Philippines,,Aug 2025,1540760,295823,all,N/A,median,6,23.275,5.1,103788,97035,103.79,97.04
PLDT Home Fiber,Philippines,,Aug 2025,3334480,580392,all,N/A,median,7,26.6561,8.7884,110763,109296,110.76,109.30
PLDT,Philippines,,Aug 2025,1572209,299172,all,N/A,median,9,31.6167,9.1375,86744,90092,86.74,90.09
Smart,Philippines,,Aug 2025,275974,52590,N/A,cellular,median,20,49.0835,14.4689,51962,7381,51.96,7.38
DITO,Philippines,,Aug 2025,120562,21347,N/A,cellular,median,26,49.9425,15.5834,32076,6388,32.08,6.39
Globe,Philippines,,Aug 2025,294415,52530,N/A,cellular,median,21,44.2359,13.8455,37072,7761,37.07,7.76
Converge,Philippines,,Sep 2025,2670578,491056,all,N/A,median,5,12.4,4.525,141351,134182,141.35,134.18
Globe,Philippines,,Sep 2025,1289791,251849,all,N/A,median,6,21.4949,5.0781,117657,105140,117.66,105.14
PLDT Home Fiber,Philippines,,Sep 2025,3012220,544337,all,N/A,median,6,23.8555,8.7249,111396,112878,111.40,112.88
PLDT,Philippines,,Sep 2025,1478078,287704,all,N/A,median,8,31.2741,9.43,87184,90452,87.18,90.45
Smart,Philippines,,Sep 2025,256309,49317,N/A,cellular,median,20,50.7122,15.196,50088,6967,50.09,6.97
DITO,Philippines,,Sep 2025,113060,20077,N/A,cellular,median,26,51.6021,15.2459,31582,5823,31.58,5.82
Globe,Philippines,,Sep 2025,273948,47121,N/A,cellular,median,21,44.8575,14.7229,33539,7338,33.54,7.34
Converge,Philippines,,Oct 2025,2590567,467602,all,N/A,median,5,13.7583,4.8249,131590,135726,131.59,135.73
Globe,Philippines,,Oct 2025,1350071,261795,all,N/A,median,6,20.7053,4.4,124526,112016,124.53,112.02
PLDT Home Fiber,Philippines,,Oct 2025,3287188,574099,all,N/A,median,6,22.8068,7.4249,106248,112480,106.25,112.48
PLDT,Philippines,,Oct 2025,1612336,309413,all,N/A,median,8,29.1095,7.8125,89460,92463,89.46,92.46
Smart,Philippines,,Oct 2025,257576,51057,N/A,cellular,median,20,51.3671,16.1272,49988,6766,49.99,6.77
DITO,Philippines,,Oct 2025,113093,20816,N/A,cellular,median,26,50.3271,15.2828,31898,5999,31.90,6.00
Globe,Philippines,,Oct 2025,326830,50407,N/A,cellular,median,22,45.7474,14.7309,33874,7313,33.87,7.31
Converge,Philippines,,Nov 2025,2319457,430384,all,N/A,median,5,12.4167,4.2505,128280,131502,128.28,131.50
Globe,Philippines,,Nov 2025,1180603,236177,all,N/A,median,6,22.2764,4.325,120122,108741,120.12,108.74
PLDT Home Fiber,Philippines,,Nov 2025,2956247,516700,all,N/A,median,7,22.0111,6.828,101679,110198,101.68,110.20
PLDT,Philippines,,Nov 2025,1374234,271585,all,N/A,median,8,29.2055,7.6906,85844,89824,85.84,89.82
Smart,Philippines,,Nov 2025,321643,61155,N/A,cellular,median,20,55.9947,18.0587,47577,6380,47.58,6.38
DITO,Philippines,,Nov 2025,138421,24549,N/A,cellular,median,27,51.6557,16.4321,30377,5514,30.38,5.51
Globe,Philippines,,Nov 2025,384232,63548,N/A,cellular,median,22,49.1478,15.7402,30036,6900,30.04,6.90
Converge,Philippines,,Dec 2025 (to date),220106,65231,all,N/A,median,5,12,3.1625,145178,139257,145.18,139.26
Globe,Philippines,,Dec 2025 (to date),126386,37866,all,N/A,median,6,25.4897,3.8394,120722,109293,120.72,109.29
PLDT Home Fiber,Philippines,,Dec 2025 (to date),290959,81411,all,N/A,median,6,20.6775,5.1667,100832,107270,100.83,107.27
PLDT,Philippines,,Dec 2025 (to date),149783,44067,all,N/A,median,8,27.3863,5.9,88763,92493,88.76,92.49
Smart,Philippines,,Dec 2025 (to date),28112,8281,N/A,cellular,median,19,54.7467,15.5343,46754,6338,46.75,6.34
DITO,Philippines,,Dec 2025 (to date),12603,3564,N/A,cellular,median,28,50.5009,14.7767,31089,5248,31.09,5.25
Globe,Philippines,,Dec 2025 (to date),34438,7986,N/A,cellular,median,21,42.8308,13.0508,29851,7628,29.85,7.63
