Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,PLDT Home Fiber,161192,162642,161.19,162.64,3,24401,7960,11854
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Converge,175516,172626,175.52,172.63,4,15206,4792,7616
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Globe,208071,183344,208.07,183.34,5,13202,4409,6712
"Manila, Metro Manila, Philippines",14.59951,120.98423,PLDT Home Fiber,92868,108918,92.87,108.92,7,13177,3599,5287
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,PLDT Home Fiber,69444,157341,69.44,157.34,8,12197,2703,3653
"Cebu City, Cebu, Philippines",10.29261,123.90219,PLDT Home Fiber,98762,106023,98.76,106.02,6,9759,2876,4067
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,PLDT Home Fiber,109320,95315,109.32,95.32,8,9681,3094,4615
"Manila, Metro Manila, Philippines",14.59951,120.98423,Converge,199977,153737,199.98,153.74,5,9423,2923,5040
"Lucena City, Quezon, Philippines",13.94139,121.62345,PLDT,108828,123929,108.83,123.93,6,8553,2531,3998
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,Globe,125900,119528,125.90,119.53,4,8441,2974,4000
"Cebu City, Cebu, Philippines",10.29261,123.90219,Converge,163962,210248,163.96,210.25,5,8382,2513,3704
"Cebu City, Cebu, Philippines",10.29261,123.90219,PLDT,87911,93443,87.91,93.44,7,7756,2362,3434
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,PLDT,77224,77450,77.22,77.45,7,7378,2612,3787
"Cebu City, Cebu, Philippines",10.29261,123.90219,Globe,129170,114421,129.17,114.42,6,7003,2529,3545
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,PLDT Home Fiber,105464,94154,105.46,94.15,9,6474,2009,2831
"Pasig, Metro Manila, Philippines",14.56082,121.0776,PLDT Home Fiber,184603,172142,184.60,172.14,3,6088,2104,3069
"Makati City, Metro Manila, Philippines",14.55474,121.02444,PLDT,87900,84859,87.90,84.86,8,5919,1968,2748
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Converge,205058,199546,205.06,199.55,4,5834,1936,2996
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Converge,102481,107736,102.48,107.74,4,5604,1951,2762
"Manila, Metro Manila, Philippines",14.59951,120.98423,PLDT,91359,93787,91.36,93.79,5,5599,1772,2604
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,PLDT Home Fiber,74065,121640,74.07,121.64,7,5493,1535,2300
