Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,User Count,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
PLDT Home Fiber,Philippines,N/A,"Jan 25, 2026",77551,26400,all,N/A,median,40114,6,19.7444,4.1917,120934,115542,120.93,115.54
Converge,Philippines,N/A,"Jan 25, 2026",57810,19257,all,N/A,median,31415,5,12.7333,3.0747,146896,146814,146.90,146.81
Globe,Philippines,N/A,"Jan 25, 2026",30748,10834,all,N/A,median,16630,6,19.1907,3.4257,121720,107924,121.72,107.92
PLDT,Philippines,N/A,"Jan 25, 2026",33318,11159,all,N/A,median,16964,8,27.3833,5.3375,88215,90761,88.22,90.76
PLDT Home Fiber,Philippines,N/A,"Jan 26, 2026",85909,31052,all,N/A,median,43249,6,19.9444,4.9417,123723,114548,123.72,114.55
Converge,Philippines,N/A,"Jan 26, 2026",71595,26333,all,N/A,median,38862,5,12.1554,3.2125,154783,153575,154.78,153.58
Globe,Philippines,N/A,"Jan 26, 2026",39661,14958,all,N/A,median,21390,6,20.5464,3.6082,123723,109557,123.72,109.56
PLDT,Philippines,N/A,"Jan 26, 2026",47345,16956,all,N/A,median,23941,9,28.5351,6.3256,87587,91908,87.59,91.91
PLDT Home Fiber,Philippines,N/A,"Jan 27, 2026",97683,34950,all,N/A,median,49152,6,19.6139,5.0776,131118,117113,131.12,117.11
Converge,Philippines,N/A,"Jan 27, 2026",71105,25419,all,N/A,median,38024,5,12.2416,3.425,151866,145986,151.87,145.99
Globe,Philippines,N/A,"Jan 27, 2026",39614,14840,all,N/A,median,21267,6,21.6167,3.85,123425,109213,123.43,109.21
PLDT,Philippines,N/A,"Jan 27, 2026",51779,18535,all,N/A,median,26836,8,27.3587,6.4087,91483,93540,91.48,93.54
PLDT Home Fiber,Philippines,N/A,"Jan 28, 2026",104147,35328,all,N/A,median,50429,6,20.487,5.5833,117768,121291,117.77,121.29
Converge,Philippines,N/A,"Jan 28, 2026",71764,26146,all,N/A,median,39455,5,12.0222,3.1917,162092,153120,162.09,153.12
Globe,Philippines,N/A,"Jan 28, 2026",39715,15226,all,N/A,median,22044,6,20.5798,3.5287,122989,108411,122.99,108.41
PLDT,Philippines,N/A,"Jan 28, 2026",54325,18777,all,N/A,median,26487,8,27.112,6.75,88768,93678,88.77,93.68
PLDT Home Fiber,Philippines,N/A,"Jan 29, 2026",91859,31884,all,N/A,median,45907,6,20.2667,5.1321,124533,122490,124.53,122.49
Converge,Philippines,N/A,"Jan 29, 2026",71245,25974,all,N/A,median,37884,5,11.8202,3.3054,160839,151282,160.84,151.28
Globe,Philippines,N/A,"Jan 29, 2026",45610,17821,all,N/A,median,24982,6,16.4222,3.2625,145077,120066,145.08,120.07
PLDT,Philippines,N/A,"Jan 29, 2026",48456,16964,all,N/A,median,24275,8,26.7493,6.0464,90321,93067,90.32,93.07
PLDT Home Fiber,Philippines,N/A,"Jan 30, 2026",82427,29870,all,N/A,median,43074,6,19.6729,4.6885,119883,112713,119.88,112.71
Converge,Philippines,N/A,"Jan 30, 2026",73925,27230,all,N/A,median,39958,5,11.4667,2.925,176783,168041,176.78,168.04
Globe,Philippines,N/A,"Jan 30, 2026",38882,14756,all,N/A,median,20890,6,17.7667,3.4107,126888,111347,126.89,111.35
PLDT,Philippines,N/A,"Jan 30, 2026",45159,16155,all,N/A,median,23557,8,26.6167,5.8167,90186,93325,90.19,93.33
PLDT Home Fiber,Philippines,N/A,"Jan 31, 2026",77165,25827,all,N/A,median,38752,6,19.4998,4.3004,108019,105484,108.02,105.48
Converge,Philippines,N/A,"Jan 31, 2026",62370,20619,all,N/A,median,33963,5,11.55,3,158237,148546,158.24,148.55
Globe,Philippines,N/A,"Jan 31, 2026",32371,11181,all,N/A,median,17403,6,18.2677,3.2,124157,110983,124.16,110.98
PLDT,Philippines,N/A,"Jan 31, 2026",36335,12011,all,N/A,median,18754,8,25.9333,5.1125,86161,89533,86.16,89.53
PLDT Home Fiber,Philippines,N/A,"Feb 1, 2026",75280,24943,all,N/A,median,37777,6,19.1246,4.2255,116382,112258,116.38,112.26
Converge,Philippines,N/A,"Feb 1, 2026",51968,17510,all,N/A,median,28704,5,11.4986,2.9543,158807,149310,158.81,149.31
Globe,Philippines,N/A,"Feb 1, 2026",30513,10885,all,N/A,median,16522,6,17.9053,3.25,122807,108772,122.81,108.77
PLDT,Philippines,N/A,"Feb 1, 2026",32254,10823,all,N/A,median,16947,7,25.7,5.3125,84519,88488,84.52,88.49
PLDT Home Fiber,Philippines,N/A,"Feb 2, 2026",102821,34032,all,N/A,median,47235,7,21.0861,6.6454,97916,121969,97.92,121.97
Converge,Philippines,N/A,"Feb 2, 2026",72979,26518,all,N/A,median,39621,5,12.6333,3.45,148577,148655,148.58,148.66
Globe,Philippines,N/A,"Feb 2, 2026",39804,15496,all,N/A,median,22453,6,22,3.75,123875,109463,123.88,109.46
