Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,User Count,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Globe,Philippines,N/A,Apr 2025,1509978,282866,all,N/A,median,414094,7,27.3609,4.892,91730,89408,91.73,89.41
PLDT Home Fiber,Philippines,N/A,Apr 2025,2819122,495406,all,N/A,median,736368,6,19.8123,5.9167,106502,107324,106.50,107.32
PLDT,Philippines,N/A,Apr 2025,1287910,248460,all,N/A,median,363732,8,28.2083,7.1,79861,84370,79.86,84.37
SpaceX Starlink,Philippines,N/A,Apr 2025,393728,42711,all,N/A,median,69104,32,48.6271,14.8857,49718,11675,49.72,11.68
Globe,Philippines,N/A,May 2025,1553185,300134,all,N/A,median,437058,7,24.3223,4.55,93747,92133,93.75,92.13
PLDT Home Fiber,Philippines,N/A,May 2025,3002601,534890,all,N/A,median,792604,6,21.8555,6.3333,110214,109024,110.21,109.02
PLDT,Philippines,N/A,May 2025,1375645,267898,all,N/A,median,403587,8,29.2028,7.4583,82955,87681,82.96,87.68
SpaceX Starlink,Philippines,N/A,May 2025,259824,42952,all,N/A,median,62797,34,49.5568,15.4653,45587,11687,45.59,11.69
Globe,Philippines,N/A,Jun 2025,1588556,303744,all,N/A,median,445472,7,21.8556,4.6124,95934,92894,95.93,92.89
PLDT Home Fiber,Philippines,N/A,Jun 2025,3093934,545355,all,N/A,median,840629,6,23.7422,7.2996,114630,107404,114.63,107.40
PLDT,Philippines,N/A,Jun 2025,1478333,285519,all,N/A,median,426513,8,31.2099,8.5413,85961,88770,85.96,88.77
SpaceX Starlink,Philippines,N/A,Jun 2025,285010,36768,all,N/A,median,54838,32,47.7093,14.541,47689,11932,47.69,11.93
Globe,Philippines,N/A,Jul 2025,1658876,308801,all,N/A,median,466159,6,21.7681,5.3052,96208,93534,96.21,93.53
PLDT Home Fiber,Philippines,N/A,Jul 2025,3098752,562437,all,N/A,median,841616,6,24.1944,7.8333,114610,111094,114.61,111.09
PLDT,Philippines,N/A,Jul 2025,1555606,300689,all,N/A,median,436440,8,30.4731,9.0125,87306,91099,87.31,91.10
SpaceX Starlink,Philippines,N/A,Jul 2025,333099,37266,all,N/A,median,57885,32,45.9488,13.6416,55508,12906,55.51,12.91
Globe,Philippines,N/A,Aug 2025,1540760,295823,all,N/A,median,450352,6,23.275,5.1,103788,97035,103.79,97.04
PLDT Home Fiber,Philippines,N/A,Aug 2025,3334480,580392,all,N/A,median,862981,7,26.6561,8.7884,110763,109296,110.76,109.30
PLDT,Philippines,N/A,Aug 2025,1572209,299172,all,N/A,median,436771,9,31.6167,9.1375,86744,90092,86.74,90.09
SpaceX Starlink,Philippines,N/A,Aug 2025,307400,33968,all,N/A,median,54973,31,45.2259,13.8417,53288,13907,53.29,13.91
Globe,Philippines,N/A,Sep 2025,1289791,251849,all,N/A,median,370135,6,21.4949,5.0781,117657,105140,117.66,105.14
PLDT Home Fiber,Philippines,N/A,Sep 2025,3012220,544337,all,N/A,median,806234,6,23.8555,8.7249,111396,112878,111.40,112.88
PLDT,Philippines,N/A,Sep 2025,1478078,287704,all,N/A,median,420749,8,31.2741,9.43,87184,90452,87.18,90.45
SpaceX Starlink,Philippines,N/A,Sep 2025,274821,33420,all,N/A,median,51745,31,45.1569,13.7079,52630,15860,52.63,15.86
Globe,Philippines,N/A,Oct 2025,1350071,261795,all,N/A,median,383534,6,20.7053,4.4,124526,112016,124.53,112.02
PLDT Home Fiber,Philippines,N/A,Oct 2025,3287188,574099,all,N/A,median,845861,6,22.8068,7.4249,106248,112480,106.25,112.48
PLDT,Philippines,N/A,Oct 2025,1612336,309413,all,N/A,median,461874,8,29.1095,7.8125,89460,92463,89.46,92.46
