Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Globe,62623,9269,62.62,9.27,15,1656,441,997
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Smart,64700,8867,64.70,8.87,15,1151,186,525
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Smart,62161,10602,62.16,10.60,15,1117,427,653
"Cebu City, Cebu, Philippines",10.29261,123.90219,DITO,57893,4412,57.89,4.41,35,1077,113,505
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Smart,68240,7374,68.24,7.37,17,1049,170,540
"San Fernando, Pampanga, Philippines",15.02781,120.69349,Globe,20689,2561,20.69,2.56,21,965,26,51
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,Smart,44787,7264,44.79,7.26,16,955,67,356
"Manila, Metro Manila, Philippines",14.59951,120.98423,Globe,66295,9093,66.30,9.09,15,947,215,358
"Manila, Metro Manila, Philippines",14.59951,120.98423,DITO,56023,12151,56.02,12.15,18,927,80,354
"Cebu City, Cebu, Philippines",10.29261,123.90219,Smart,50048,5522,50.05,5.52,15,900,218,443
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,Smart,50185,5315,50.19,5.32,24,898,118,421
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,Globe,46189,8589,46.19,8.59,26,870,129,422
"Cebu City, Cebu, Philippines",10.29261,123.90219,Globe,32176,7037,32.18,7.04,24,827,180,430
"Manila, Metro Manila, Philippines",14.59951,120.98423,Smart,56082,8035,56.08,8.04,15,765,202,425
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Globe,82321,11046,82.32,11.05,15,744,205,320
"Taguig, Metro Manila, Philippines",14.53063,121.05755,Globe,74027,11251,74.03,11.25,15,719,241,356
"Lucena City, Quezon, Philippines",13.94139,121.62345,Smart,66519,4745,66.52,4.75,16,708,10,303
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,DITO,30975,4704,30.98,4.70,39,616,67,272
"Taguig, Metro Manila, Philippines",14.53063,121.05755,Smart,68124,9545,68.12,9.55,17,590,197,300
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Globe,37641,7751,37.64,7.75,19,568,41,301
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,Globe,64640,7414,64.64,7.41,15,566,84,362
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Globe,91641,8921,91.64,8.92,14,559,152,261
"San Fernando, Pampanga, Philippines",15.02781,120.69349,Smart,64153,5140,64.15,5.14,18,558,41,289
"Angeles, Pampanga, Philippines",15.16061,120.60908,DITO,43512,12472,43.51,12.47,20,557,41,300
"General Trias, Cavite, Philippines",14.38159,120.87915,Globe,24663,5437,24.66,5.44,19,509,70,249
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Globe,49819,8498,49.82,8.50,22,505,61,258
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,Globe,47873,3919,47.87,3.92,13,487,30,308
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Smart,76654,11571,76.65,11.57,15,477,136,287
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,Globe,61420,10191,61.42,10.19,16,477,153,239
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,Smart,53044,11421,53.04,11.42,15,474,37,215
"Bacoor, Cavite, Philippines",14.43122,120.96567,DITO,67731,5756,67.73,5.76,22,443,29,192
"Makati City, Metro Manila, Philippines",14.55474,121.02444,DITO,70797,17790,70.80,17.79,18,434,35,238
"Biñan, Laguna, Philippines",14.31456,121.08316,DITO,28515,6266,28.52,6.27,22,426,16,235
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,Globe,36376,9175,36.38,9.18,23,413,71,220
"Maramag, Bukidnon, Philippines",7.82687,124.97271,Globe,62051,12720,62.05,12.72,19,408,3,279
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Globe,61390,7508,61.39,7.51,16,407,149,236
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,DITO,56444,12889,56.44,12.89,19,397,141,219
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,Globe,52994,5502,52.99,5.50,16,391,66,109
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,Globe,44589,10339,44.59,10.34,27,385,60,173
"Malabon, Metro Manila, Philippines",14.65793,120.95118,Smart,124937,7695,124.94,7.70,17,377,17,212
"Taguig, Metro Manila, Philippines",14.53063,121.05755,DITO,47626,11744,47.63,11.74,21,366,82,135
"Kabankalan City, Negros Occidental, Philippines",9.91341,122.85358,Globe,14575,3637,14.58,3.64,28,360,9,14
"Batangas City, Batangas, Philippines",13.75641,121.05833,Globe,37098,8184,37.10,8.18,21,354,24,218
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,Smart,111631,12276,111.63,12.28,15,352,86,172
