Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Globe,49521,9552,49.52,9.55,15,20244,3715,8207
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,Smart,72552,10464,72.55,10.46,15,18200,3216,6919
"Cebu City, Cebu, Philippines",10.29261,123.90219,DITO,59866,4577,59.87,4.58,31,13977,792,3521
"Cebu City, Cebu, Philippines",10.29261,123.90219,Smart,54766,6462,54.77,6.46,17,13851,1641,4145
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Globe,23303,5052,23.30,5.05,36,13518,1196,3619
"Cebu City, Cebu, Philippines",10.29261,123.90219,Globe,33317,6036,33.32,6.04,33,11775,1716,4395
"Quezon City, Metro Manila, Philippines",14.64879,121.05094,DITO,55724,11389,55.72,11.39,19,9748,1032,3251
"Manila, Metro Manila, Philippines",14.59951,120.98423,Smart,63736,9225,63.74,9.23,15,8996,1690,3717
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,Globe,23776,5751,23.78,5.75,34,8703,304,435
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,Globe,39294,8704,39.29,8.70,27,8575,1002,2405
"Taguig, Metro Manila, Philippines",14.53063,121.05755,Globe,53398,10092,53.40,10.09,16,7605,1948,2785
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Smart,76452,10138,76.45,10.14,15,7555,1520,3273
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Smart,47562,5785,47.56,5.79,20,7188,1066,1473
"Manila, Metro Manila, Philippines",14.59951,120.98423,Globe,48554,8117,48.55,8.12,15,7023,1707,2707
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,Smart,70731,9000,70.73,9.00,16,6923,508,1980
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Smart,52285,6721,52.29,6.72,17,6889,1045,2648
"General Trias, Cavite, Philippines",14.38159,120.87915,Globe,29005,5649,29.01,5.65,18,6789,426,2467
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Globe,64003,11493,64.00,11.49,16,6348,1576,2337
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,Smart,48572,7737,48.57,7.74,25,6315,927,2100
"Taguig, Metro Manila, Philippines",14.53063,121.05755,Smart,66908,9631,66.91,9.63,16,6296,1744,2657
"Lucena City, Quezon, Philippines",13.94139,121.62345,Smart,37150,3298,37.15,3.30,17,6273,114,1716
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,Globe,36576,6439,36.58,6.44,35,5882,494,2288
"Manila, Metro Manila, Philippines",14.59951,120.98423,DITO,45121,8806,45.12,8.81,18,5664,604,1957
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,Globe,45447,9036,45.45,9.04,17,5243,1291,1957
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Smart,68136,9327,68.14,9.33,15,5035,1282,2205
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,Globe,32591,8214,32.59,8.21,22,5018,548,1712
"Anao, Tarlac, Philippines",15.7435,120.61424,Globe,23373,9129,23.37,9.13,23,4941,6,2297
"Davao City, Davao del Sur, Philippines",7.06475,125.60884,DITO,33222,7617,33.22,7.62,34,4877,459,1333
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Globe,44494,8486,44.49,8.49,16,4735,1075,1662
"San Fernando, Pampanga, Philippines",15.02781,120.69349,DITO,55043,10107,55.04,10.11,23,4699,143,1678
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Globe,52562,8867,52.56,8.87,15,4685,1272,2276
"Navotas, Metro Manila, Philippines",14.65819,120.94743,Globe,40464,5103,40.46,5.10,15,4673,81,2224
"Santo Domingo, Nueva Ecija, Philippines",15.61284,120.88434,Globe,71919,7596,71.92,7.60,21,4664,12,1998
"Bacoor, Cavite, Philippines",14.43122,120.96567,Globe,36506,7312,36.51,7.31,18,4637,449,1777
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,Globe,41458,8225,41.46,8.23,19,4491,153,1993
"Angeles, Pampanga, Philippines",15.16061,120.60908,DITO,34194,7686,34.19,7.69,23,4431,258,1358
"San Fernando, Pampanga, Philippines",15.02781,120.69349,Smart,49334,5708,49.33,5.71,18,4122,295,1543
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Globe,33491,5940,33.49,5.94,18,4069,434,1561
"Batangas City, Batangas, Philippines",13.75641,121.05833,Globe,38525,7620,38.53,7.62,20,4020,167,1579
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,Smart,58572,10290,58.57,10.29,16,4014,1163,1804
"Maramag, Bukidnon, Philippines",7.82687,124.97271,Globe,14146,8567,14.15,8.57,30,3962,42,1170
"Calamba, Laguna, Philippines",14.19488,121.15974,DITO,22509,2789,22.51,2.79,23,3841,207,1431
"Butuan City, Agusan Del Norte, Philippines",8.94753,125.54063,Globe,19114,6878,19.11,6.88,32,3829,103,1282
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,Smart,51538,10827,51.54,10.83,16,3825,352,1176
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,Globe,45571,9167,45.57,9.17,15,3727,700,1212
"San Simon, Pampanga, Philippines",14.98432,120.75127,Globe,20473,7759,20.47,7.76,21,3496,20,1325
"Taguig, Metro Manila, Philippines",14.53063,121.05755,DITO,48817,9127,48.82,9.13,21,3417,614,905
"Tuguegarao City, Cagayan, Philippines",17.60306,121.75374,Globe,31744,8474,31.74,8.47,24,3239,123,1562
"Carmona, Cavite, Philippines",14.3135,121.05712,Globe,30409,3662,30.41,3.66,20,3168,110,1247
"Mandaue, Cebu, Philippines",10.3279,123.94273,Smart,57209,5456,57.21,5.46,15,3076,564,804
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,Globe,35153,6880,35.15,6.88,17,3055,687,1046
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Smart,59587,9610,59.59,9.61,15,2933,854,1293
"City of Mati, Davao Oriental, Philippines",6.95722,126.15454,Globe,22344,5340,22.34,5.34,35,2836,55,75
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,Globe,55203,7808,55.20,7.81,16,2822,556,819
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Globe,44299,7982,44.30,7.98,15,2798,912,1397
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,DITO,29584,4711,29.58,4.71,39,2761,415,588
"Angeles, Pampanga, Philippines",15.16061,120.60908,Smart,50034,5009,50.03,5.01,18,2759,682,1007
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Smart,78205,5331,78.21,5.33,16,2665,551,803
