Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Smart,Philippines,,"Oct 26, 2025",7333,2418,N/A,cellular,median,3888,19,50.2758,13.6959,45953,6262,45.95,6.26
Globe,Philippines,,"Oct 26, 2025",8341,2399,N/A,cellular,median,3739,21,45.3542,13.0224,31621,6983,31.62,6.98
DITO,Philippines,,"Oct 26, 2025",2955,1046,N/A,cellular,median,1653,26,48.6548,13.4312,29010,5345,29.01,5.35
Smart,Philippines,,"Oct 27, 2025",8321,2814,N/A,cellular,median,4498,19,51.2731,14.7915,44568,6241,44.57,6.24
Globe,Philippines,,"Oct 27, 2025",15476,2850,N/A,cellular,median,4443,21,44.252,12.9273,30960,7537,30.96,7.54
DITO,Philippines,,"Oct 27, 2025",3520,1200,N/A,cellular,median,1873,27,48.97,13.1342,29830,4786,29.83,4.79
Smart,Philippines,,"Oct 28, 2025",8479,2715,N/A,cellular,median,4287,19,49.5398,15.0758,45123,5905,45.12,5.91
Globe,Philippines,,"Oct 28, 2025",12769,2517,N/A,cellular,median,3921,22,45.6445,13.3991,30055,7117,30.06,7.12
DITO,Philippines,,"Oct 28, 2025",3945,1242,N/A,cellular,median,1893,26,48.4197,12.5817,30422,5387,30.42,5.39
Smart,Philippines,,"Oct 29, 2025",8468,2783,N/A,cellular,median,4310,19,50.4009,15.1274,43730,6175,43.73,6.18
Globe,Philippines,,"Oct 29, 2025",12237,2693,N/A,cellular,median,4125,22,45.765,13.7882,30704,7404,30.70,7.40
DITO,Philippines,,"Oct 29, 2025",3837,1259,N/A,cellular,median,1938,27,48.8277,13.6337,29975,5436,29.98,5.44
Smart,Philippines,,"Oct 30, 2025",9162,3150,N/A,cellular,median,4873,19,50.2658,15.3024,46445,6595,46.45,6.60
Globe,Philippines,,"Oct 30, 2025",13288,2969,N/A,cellular,median,4722,22,45.5284,13.5234,31226,6772,31.23,6.77
DITO,Philippines,,"Oct 30, 2025",3720,1334,N/A,cellular,median,2004,26,50.2894,14.1649,30879,5738,30.88,5.74
Smart,Philippines,,"Oct 31, 2025",9520,3305,N/A,cellular,median,4980,20,51.9486,14.3401,46490,6306,46.49,6.31
Globe,Philippines,,"Oct 31, 2025",11190,2840,N/A,cellular,median,4254,22,47.0923,13.8146,30130,7049,30.13,7.05
DITO,Philippines,,"Oct 31, 2025",3782,1281,N/A,cellular,median,1973,26,47.3139,13.1318,32540,6236,32.54,6.24
Smart,Philippines,,"Nov 1, 2025",9285,3380,N/A,cellular,median,5140,20,53.0713,15.3768,41790,5487,41.79,5.49
Globe,Philippines,,"Nov 1, 2025",8492,2931,N/A,cellular,median,4401,23,48.2735,14.981,26586,6252,26.59,6.25
DITO,Philippines,,"Nov 1, 2025",3933,1370,N/A,cellular,median,2167,27,48.4795,13.5701,29863,5054,29.86,5.05
Smart,Philippines,,"Nov 2, 2025",7554,2760,N/A,cellular,median,4290,19,50.0287,13.6695,49097,6687,49.10,6.69
Globe,Philippines,,"Nov 2, 2025",6698,2408,N/A,cellular,median,3842,21,44.0023,12.5144,32689,7742,32.69,7.74
DITO,Philippines,,"Nov 2, 2025",3278,1177,N/A,cellular,median,1838,26,47.231,12.0159,32880,6212,32.88,6.21
Smart,Philippines,,"Nov 3, 2025",8547,3103,N/A,cellular,median,4823,20,51.3796,15.0429,45780,5806,45.78,5.81
Globe,Philippines,,"Nov 3, 2025",9175,3014,N/A,cellular,median,4505,22,47.6857,13.2859,30114,6938,30.11,6.94
DITO,Philippines,,"Nov 3, 2025",3872,1319,N/A,cellular,median,2032,27,50.8808,15.1001,27570,4483,27.57,4.48
Smart,Philippines,,"Nov 4, 2025",14187,5257,N/A,cellular,median,8200,18,51.9011,14.7046,58176,7156,58.18,7.16
Globe,Philippines,,"Nov 4, 2025",14443,4421,N/A,cellular,median,6707,26,60.4673,17.0297,24374,5372,24.37,5.37
DITO,Philippines,,"Nov 4, 2025",5355,1736,N/A,cellular,median,2678,28,52.7942,15.0169,26187,3640,26.19,3.64
Smart,Philippines,,"Nov 5, 2025",12593,4088,N/A,cellular,median,6182,20,57.304,16.7274,46774,5685,46.77,5.69
Globe,Philippines,,"Nov 5, 2025",13419,3969,N/A,cellular,median,5988,26,60.729,16.4023,24477,5907,24.48,5.91
DITO,Philippines,,"Nov 5, 2025",4991,1626,N/A,cellular,median,2513,29,52.8073,15.3538,26652,4240,26.65,4.24
Smart,Philippines,,"Nov 6, 2025",11669,3834,N/A,cellular,median,6068,20,58.1636,16.6142,43132,5779,43.13,5.78
Globe,Philippines,,"Nov 6, 2025",15188,4073,N/A,cellular,median,6046,25,55.9717,14.4844,26711,6269,26.71,6.27
DITO,Philippines,,"Nov 6, 2025",4952,1597,N/A,cellular,median,2436,29,52.3738,14.8581,26328,4292,26.33,4.29
Smart,Philippines,,"Nov 7, 2025",10547,3474,N/A,cellular,median,5421,20,54.4719,15.1283,44125,6074,44.13,6.07
Globe,Philippines,,"Nov 7, 2025",15788,3515,N/A,cellular,median,5453,24,53.3895,14.0939,26248,6398,26.25,6.40
DITO,Philippines,,"Nov 7, 2025",4323,1436,N/A,cellular,median,2272,29,52.7057,14.3735,28196,4853,28.20,4.85
Smart,Philippines,,"Nov 8, 2025",10077,3359,N/A,cellular,median,5421,20,53.6415,14.6792,43663,5553,43.66,5.55
Globe,Philippines,,"Nov 8, 2025",11540,3276,N/A,cellular,median,5215,24,52.1707,14.1811,25662,6542,25.66,6.54
DITO,Philippines,,"Nov 8, 2025",4507,1500,N/A,cellular,median,2307,28,51.2573,13.7898,29556,4923,29.56,4.92
Smart,Philippines,,"Nov 9, 2025",11723,3893,N/A,cellular,median,6352,21,54.9498,18.777,33438,4067,33.44,4.07
Globe,Philippines,,"Nov 9, 2025",11950,4007,N/A,cellular,median,6366,24,54.3059,16.9827,20705,4565,20.71,4.57
DITO,Philippines,,"Nov 9, 2025",4966,1573,N/A,cellular,median,2501,30,54.7818,17.1934,21468,3442,21.47,3.44
Smart,Philippines,,"Nov 10, 2025",15734,4968,N/A,cellular,median,7691,22,57.5919,19.4181,36839,4018,36.84,4.02
Globe,Philippines,,"Nov 10, 2025",17324,4874,N/A,cellular,median,7579,25,57.313,18.3042,20548,4576,20.55,4.58
DITO,Philippines,,"Nov 10, 2025",5596,1651,N/A,cellular,median,2606,29,52.4434,15.1576,24456,3853,24.46,3.85
